# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
127             	2.38397047e-02	4.55545961e-03	2.87733008e-02	9.69517429e-03	8.23820343e-03
128             	2.39308624e-02	4.48347068e-03	2.85051587e-02	9.63360823e-03	8.14815425e-03
129             	2.29638323e-02	4.41768555e-03	2.82122714e-02	9.57262188e-03	8.04485880e-03
130             	2.30323906e-02	4.35601886e-03	2.80232572e-02	9.51034106e-03	7.94099913e-03
131             	2.35600390e-02	4.30182985e-03	2.77873882e-02	9.44761116e-03	7.83147192e-03
132             	2.33596419e-02	4.24858613e-03	2.75429771e-02	9.38515926e-03	7.71773724e-03
133             	2.21752118e-02	4.19825592e-03	2.71840746e-02	9.32385637e-03	7.60630767e-03
134             	2.17884812e-02	4.15404909e-03	2.70048189e-02	9.25877603e-03	7.49149969e-03
135             	2.15063661e-02	4.11449571e-03	2.67607619e-02	9.19333139e-03	7.37851722e-03
136             	2.14306003e-02	4.07929425e-03	2.65390392e-02	9.12623970e-03	7.26665318e-03
137             	2.06918077e-02	4.04485287e-03	2.62500270e-02	9.05814595e-03	7.14880678e-03
138             	2.06518518e-02	4.01712376e-03	2.60418867e-02	8.98970838e-03	7.03589358e-03
139             	2.05009220e-02	3.99293775e-03	2.57931734e-02	8.92131039e-03	6.92492826e-03
140             	2.01962867e-02	3.97087147e-03	2.55686297e-02	8.85405125e-03	6.81223557e-03
141             	1.99263017e-02	3.95086238e-03	2.53323712e-02	8.78875534e-03	6.70207874e-03
142             	1.95080419e-02	3.93118380e-03	2.50773092e-02	8.72656283e-03	6.59272330e-03
143             	1.94688064e-02	3.91235398e-03	2.48096939e-02	8.66619159e-03	6.48911633e-03
144             	1.95623749e-02	3.89406206e-03	2.45362618e-02	8.60815059e-03	6.38321634e-03
145             	1.87927901e-02	3.87217236e-03	2.42571430e-02	8.55283446e-03	6.27636536e-03
146             	1.86246928e-02	3.85000785e-03	2.39674241e-02	8.49912594e-03	6.17257973e-03
147             	1.83487784e-02	3.82536528e-03	2.36714001e-02	8.44824116e-03	6.07163995e-03
148             	1.81475108e-02	3.79827594e-03	2.33683862e-02	8.40074069e-03	5.96847846e-03
149             	1.80697163e-02	3.76965069e-03	2.31006877e-02	8.35518377e-03	5.86788160e-03
150             	1.78596642e-02	3.73804192e-03	2.28267171e-02	8.31277874e-03	5.76940494e-03
151             	1.79572504e-02	3.70360492e-03	2.25500095e-02	8.27199558e-03	5.67302624e-03
152             	1.81118365e-02	3.66847140e-03	2.22784035e-02	8.23349221e-03	5.57380254e-03
153             	1.75816510e-02	3.62905045e-03	2.19929025e-02	8.19744189e-03	5.47167758e-03
154             	1.75867083e-02	3.58808440e-03	2.17185581e-02	8.16318071e-03	5.37309735e-03
155             	1.75806735e-02	3.54567778e-03	2.14725674e-02	8.12934483e-03	5.27444256e-03
156             	1.72596319e-02	3.49956991e-03	2.12134851e-02	8.09592847e-03	5.17524871e-03
157             	1.64167934e-02	3.45387863e-03	2.08500418e-02	8.06360419e-03	5.07775566e-03
158             	1.62849660e-02	3.40456333e-03	2.05450081e-02	8.03252795e-03	4.98138750e-03
159             	1.64307024e-02	3.35522826e-03	2.02828536e-02	8.00115452e-03	4.89155299e-03
160             	1.67487879e-02	3.30399605e-03	2.00854556e-02	7.96786875e-03	4.79999834e-03
161             	1.63660802e-02	3.25102448e-03	1.98398588e-02	7.92821896e-03	4.70599571e-03
162             	1.62288252e-02	3.19847120e-03	1.95844845e-02	7.88248935e-03	4.61538388e-03
163             	1.61119105e-02	3.14645537e-03	1.93820737e-02	7.82992086e-03	4.52639807e-03
164             	1.61742846e-02	3.09391765e-03	1.91796929e-02	7.77028546e-03	4.44260528e-03
165             	1.63342086e-02	3.04201739e-03	1.89920874e-02	7.70044775e-03	4.35871230e-03
166             	1.60924014e-02	2.98695550e-03	1.88348451e-02	7.61903680e-03	4.27131909e-03
167             	1.60136757e-02	2.93661546e-03	1.86625586e-02	7.52976657e-03	4.18643477e-03
168             	1.58083355e-02	2.88322260e-03	1.85280955e-02	7.43143576e-03	4.10292358e-03
169             	1.58971789e-02	2.82884283e-03	1.83774466e-02	7.32301614e-03	4.02626912e-03
170             	1.64268423e-02	2.77406752e-03	1.83843009e-02	7.20253916e-03	3.94176943e-03
171             	1.63576278e-02	2.71978986e-03	1.83356822e-02	7.07248794e-03	3.85900338e-03
172             	1.56648439e-02	2.66631853e-03	1.81248913e-02	6.93103724e-03	3.77265606e-03
173             	1.57260348e-02	2.61616841e-03	1.80372182e-02	6.77808765e-03	3.68506470e-03
174             	1.72321369e-02	2.56275718e-03	1.80545904e-02	6.62044084e-03	3.60427724e-03
175             	1.61023560e-02	2.51462348e-03	1.78868263e-02	6.44837507e-03	3.51658810e-03
176             	1.62814492e-02	2.46019543e-03	1.79141891e-02	6.26765192e-03	3.42318050e-03
177             	1.57009029e-02	2.40707435e-03	1.75367145e-02	6.07759379e-03	3.33149513e-03
178             	1.52599429e-02	2.34752682e-03	1.74044170e-02	5.88098791e-03	3.23690811e-03
179             	1.55136761e-02	2.29369672e-03	1.71405282e-02	5.67478327e-03	3.14583164e-03
180             	1.44964148e-02	2.22959091e-03	1.68971694e-02	5.46195875e-03	3.04693665e-03
181             	1.43580687e-02	2.16897150e-03	1.65274161e-02	5.24497349e-03	2.95371771e-03
182             	1.42039621e-02	2.10334402e-03	1.63050782e-02	5.02827028e-03	2.86276000e-03
183             	1.36300811e-02	2.03779157e-03	1.57809963e-02	4.80948158e-03	2.77008313e-03
184             	1.31663878e-02	1.97481726e-03	1.53030719e-02	4.59416748e-03	2.68159940e-03
185             	1.24884167e-02	1.91230953e-03	1.48856766e-02	4.38617015e-03	2.59776364e-03
186             	1.23098469e-02	1.85180263e-03	1.43949557e-02	4.18526085e-03	2.51536161e-03
187             	1.19496676e-02	1.79352457e-03	1.38128842e-02	3.99218670e-03	2.43519769e-03
